2009-01-12::23:00:00 -0.172100    
2009-01-13::00:00:00 -0.158000    
2009-01-13::01:00:00 -0.135900    
2009-01-13::02:00:00 -0.106800    
2009-01-13::03:00:00 -0.773000E-01
2009-01-13::04:00:00 -0.568000E-01
2009-01-13::05:00:00 -0.511000E-01
2009-01-13::06:00:00 -0.575000E-01
2009-01-13::07:00:00 -0.664000E-01
2009-01-13::08:00:00 -0.683000E-01
2009-01-13::09:00:00 -0.603000E-01
2009-01-13::10:00:00 -0.470000E-01
2009-01-13::11:00:00 -0.345000E-01
2009-01-13::12:00:00 -0.260000E-01
2009-01-13::13:00:00 -0.199000E-01
2009-01-13::14:00:00 -0.150000E-01
2009-01-13::15:00:00 -0.147000E-01
2009-01-13::16:00:00 -0.260000E-01
2009-01-13::17:00:00 -0.547000E-01
2009-01-13::18:00:00 -0.983000E-01
2009-01-13::19:00:00 -0.146700    
2009-01-13::20:00:00 -0.186500    
2009-01-13::21:00:00 -0.210800    
2009-01-13::22:00:00 -0.219900    
2009-01-13::23:00:00 -0.219000    
2009-01-14::00:00:00 -0.211800    
2009-01-14::01:00:00 -0.197600    
2009-01-14::02:00:00 -0.174900    
2009-01-14::03:00:00 -0.146100    
2009-01-14::04:00:00 -0.119400    
2009-01-14::05:00:00 -0.103900    
2009-01-14::06:00:00 -0.102600    
2009-01-14::07:00:00 -0.110000    
2009-01-14::08:00:00 -0.115800    
2009-01-14::09:00:00 -0.112500    
2009-01-14::10:00:00 -0.100500    
2009-01-14::11:00:00 -0.854000E-01
2009-01-14::12:00:00 -0.725000E-01
2009-01-14::13:00:00 -0.625000E-01
2009-01-14::14:00:00 -0.530000E-01
2009-01-14::15:00:00 -0.436000E-01
2009-01-14::16:00:00 -0.393000E-01
2009-01-14::17:00:00 -0.477000E-01
2009-01-14::18:00:00 -0.722000E-01
2009-01-14::19:00:00 -0.108000    
2009-01-14::20:00:00 -0.143800    
2009-01-14::21:00:00 -0.168400    
2009-01-14::22:00:00 -0.177900    
2009-01-14::23:00:00 -0.175800    
2009-01-15::00:00:00 -0.166800    
2009-01-15::01:00:00 -0.152800    
2009-01-15::02:00:00 -0.131900    
2009-01-15::03:00:00 -0.103300    
2009-01-15::04:00:00 -0.710000E-01
2009-01-15::05:00:00 -0.443000E-01
2009-01-15::06:00:00 -0.304000E-01
2009-01-15::07:00:00 -0.297000E-01
2009-01-15::08:00:00 -0.346000E-01
2009-01-15::09:00:00 -0.358000E-01
2009-01-15::10:00:00 -0.287000E-01
2009-01-15::11:00:00 -0.158000E-01
2009-01-15::12:00:00 -0.320000E-02
2009-01-15::13:00:00  0.610000E-02
2009-01-15::14:00:00  0.134000E-01
2009-01-15::15:00:00  0.214000E-01
2009-01-15::16:00:00  0.288000E-01
2009-01-15::17:00:00  0.296000E-01
2009-01-15::18:00:00  0.171000E-01
2009-01-15::19:00:00 -0.101000E-01
2009-01-15::20:00:00 -0.448000E-01
2009-01-15::21:00:00 -0.763000E-01
2009-01-15::22:00:00 -0.965000E-01
2009-01-15::23:00:00 -0.104900    
2009-01-16::00:00:00 -0.105500    
2009-01-16::01:00:00 -0.102300    
2009-01-16::02:00:00 -0.948000E-01
2009-01-16::03:00:00 -0.807000E-01
2009-01-16::04:00:00 -0.603000E-01
2009-01-16::05:00:00 -0.391000E-01
2009-01-16::06:00:00 -0.257000E-01
2009-01-16::07:00:00 -0.251000E-01
2009-01-16::08:00:00 -0.349000E-01
2009-01-16::09:00:00 -0.468000E-01
